ID,Latitude,Longitude,X2018,X1980,pop_growth,pop_growth_rate,urban_cluster,multiGHS,Country.Co,Country.or,City.Code,Urban.Aggl,Continent,pop_mean,pop_sum,Area,plain_area,plain_perc,disc,alti,clim,prec,clco,biom,popd,hdev,pop_den
1202609_21656,34.6507,133.9135,724.977,305.219,1.3752682500106481,3.619126973712232,2,1,392,Japan,21656,Okayama,AS,22.64532749441751,903548.567,398043339.5,55755635.5,14.007,11.625,366,11,1861,4,4,432.86,901,0.002269975345234988
1202616_23812,34.5036,109.5089,531.206,79.776,5.658719414360209,14.891366879895287,1,1,156,China,23812,Weinan,AS,52.21395731128377,308062.348,58859387.15,34901050.39,59.296,269.285,631,11,593,16,4,506.974,738,0.005233869445750761
1206866_23792,34.3985,113.7368,419.786,11.945,34.14323984930933,89.85063118239299,1,1,156,China,23792,Xinzheng,AS,42.56616736688555,289449.938,67834503.5,10793024.46,15.911,19.905,129,11,670,16,4,1298.83,719,0.004267001644671874
1206868_20741,34.3668,118.343,523.419,26.935,18.432671245591237,48.50702959366115,1,1,156,China,20741,Xinyi,AS,34.55632702970262,193515.431,55862217.79,55862217.79,100,51.264,131,11,831,16,4,552.431,769,0.003464155893836381
1207580_23469,34.3917,-118.5426,364.899,56.987,5.403197220418692,14.2189400537334,1,1,840,United States of America,23469,Santa Clarita,"NA",15.469258519731236,180990.325,116713951.5,1354939.927,1.161,0.066,563,12,474,4,12,751.882,951,0.0015507171394158479
1211002_20001,34.3482,62.1997,546.672,143.859,2.800054219756845,7.368563736202223,1,1,4,Afghanistan,20001,Herat,AS,176.4549593089113,1023438.764,57858948.68,NA,NA,111.974,1232,12,264,13,13,81.975,479,0.01768851296729092
1211007_20459,34.3651,107.2004,1098.012,316.652,2.4675669188888745,6.493597154970722,1,1,156,China,20459,Baoji,AS,47.57127643199064,894339.997,187537798.9,98815508.27,52.691,200.569,1216,11,675,16,4,506.451,725,0.004768851944758535
1211009_20727,34.3386,108.7015,700.34,251.926,1.7799433166882341,4.684061359705879,1,1,156,China,20727,"Xianyang, Shaanxi",AS,49.27182896095711,551844.484,111724306.6,52535107.63,47.022,200.569,1216,11,675,16,4,506.451,725,0.004939341319662306
1211029_23695,34.3114,117.9503,958.405,33.518,27.59374067665135,72.61510704381934,1,1,156,China,23695,Pizhou,AS,72.08745875655094,497403.465,68830184.61,68830184.61,100,162.187,67,11,744,16,4,709.899,778,0.0072265310316737795
1211035_204585,34.3928,132.4605,2095.22,1825.045,0.14803744565202487,0.3895722254000655,1,1,392,Japan,204585,Hiroshima,AS,36.13256956368604,1195988.053,330195260.4,32231491.02,9.761,11.625,366,11,1861,4,4,432.86,901,0.003622063053089178
1212220_206459,34.6758,135.5538,19281.188,17027.547,0.13235265185290634,0.34829645224449035,1,1,392,Japan,206459,Kinki M.M.A. (Osaka),AS,48.16413635166107,15300975.49,3173454466,474757143.1,14.96,11.625,366,11,1861,4,4,432.86,901,0.004821551925175787
1213997_23796,34.3011,108.4877,350.959,64.965,4.402278149772955,11.584942499402514,1,1,156,China,23796,Xingping,AS,67.56048760134726,351314.536,51871228.47,21344.856,0.041,200.569,1216,11,675,16,4,506.451,725,0.006772820817289582
1215342_21894,34.261,-6.5802,462.615,177.424,1.607398097213455,4.229994992666987,1,1,504,Morocco,21894,KÃ¯Â¿Â½nitra,AF,63.80167270404298,542314.218,84789699.85,40525976.59,47.796,135.366,60,14,564,2,12,602.333,647,0.006395991717854867
1219111_20746,34.2637,117.1866,2053.581,620.515,2.309478417121263,6.077574781898059,1,1,156,China,20746,Xuzhou,AS,41.72229102248815,1522821.9,364104097.6,132401368.4,36.364,1316.964,24,11,843,16,4,624.997,773,0.00418238056104755
1219495_23326,34.1966,43.8739,302.041,46.061,5.557412995809904,14.624771041605012,1,1,368,Iraq,23326,Samarra,AS,83.98437097679869,176367.179,20948005.33,NA,NA,1139.556,235,15,274,14,13,250.26,649,0.008419282705996907
1221296_23092,34.1975,-119.1771,393.709,264.194,0.49022687873305215,1.290070733508032,1,1,840,United States of America,23092,Oxnard,"NA",22.74236247642564,320667.311,140653412.4,9424338.632,6.7,0.066,563,12,474,4,12,751.882,951,0.0022798402507865495
1224720_22047,34.202,72.0525,368.066,145.095,1.5367242151693716,4.044011092550978,1,1,586,Pakistan,22047,Mardan,AS,84.46807410720845,1005170.082,118707172.7,NA,NA,1243.133,787,15,588,16,13,832.433,541,0.008467644028051221
